Lot_Number,Client,Commercial,Client_Sample_ID,Common_Name,Sample_Type,Phylum,Class,Genus,Species,Sample_Form,Region,Town,Site,Analysis_by,Isotopes,ZooMS,AAR,Lipid,DNA,Other_Analysis,Return_Sample,Returned,Return_Date,Archive_Box,Extra_Information,Date_Recieved,
1,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Saxidomus,,Powder,?,Cape Blanco-Oregon-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Saxidomus ILC-A, Sample From: JW, Date Excavated: 2000",,
2,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Mercenaria,,Powder,,Mark Clark Pit-Charleston-South Carolina-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Mercenaria ILC-B, Sample From: JW, Date Excavated: 2000",,
3,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Mercenaria,,Powder,,Calabash Pit-Calabash-North Carolina-USA,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Mercenaria ILC-C, Sample From: JW, Date Excavated: 2000",,
4,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Cepaea,nemoralis,1,,Beeches Pit,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: shell in tufa. Cepaea nemoralis, Sample From: RP, Date Excavated: 2000",,
5,0,FALSE,LEGACY,Cross-cut Carpet Shell,Shell,Mollusca,Bivalvia,Venerupis,decussata,1,,Clacton Channel IV,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
6,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,naticina,12,,Little Oakley,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
7,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,5,,Shropham Ip.,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: RP, Date Excavated: 2000",,
8,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,4,,Shropham Ip.,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
9,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,goldfussiana,2,,Sugworth-Oxford,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
10,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,5,,Sugworth-Oxford,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: RP, Date Excavated: 2000",,
11,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,2,,Ashton Keynes,AK2-0-10,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
12,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,1,,Ashton Keynes,sample 20-30,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
13,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Aveley,line pit tramway cutting,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
14,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,~25,,Aveley-Purfleet Rd,adj. Pumping station-0.25-0.33m,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
15,0,FALSE,LEGACY,Clam,Shell,Mollusca,Bivalvia,Corbicula,fluminaris,8,,Aveley-Purfleet Rd,Sec 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
16,0,FALSE,LEGACY,Slug,Slug plates,Mollusca,Gastropoda,,,17,,Aveley-Purfleet Rd,Area 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
17,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,8,,Aveley-Purfleet Rd,Area 6,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
18,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,9,,Aveley-Purfleet Rd,CH 8830,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
19,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,3,,Berkshire Downs,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
20,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Biddenham,2nd series,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
21,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,5,,Biddenham,Series 2,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
22,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Valvata,piscinalis,5,,Biddenham,2nd series,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
23,0,FALSE,LEGACY,Slug,Slug plates,Mollusca,Gastropoda,,,5,,Bielsbeck,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
24,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,2,,Bielsbeck,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
25,0,FALSE,LEGACY,Snail,Unknown,Mollusca,Gastropoda,Bithynia,tentaculata,10,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Extra Information: Bithynia tentaculata, Sample From: DK, Date Excavated: 2000",,
26,0,FALSE,LEGACY,Snail,Opercula/Operculum,Mollusca,Gastropoda,Bithynia,tentaculata,6,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
27,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Pupilla,muscorum,4,,Cassington,4B top 10cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
28,0,FALSE,LEGACY,Snail,Shell,Mollusca,Gastropoda,Valvata,piscinalis,10,,Cassington,4B-top 10 cm,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
29,0,FALSE,LEGACY,Hairy Snail,Shell,Mollusca,Gastropoda,Trochulus,hispidus,3,,Castleton-Derbyshire,,0,FALSE,FALSE,FALSE,FALSE,FALSE,LEGACY,ARCHIVE,NO,,0-0-S013,"Sample From: DK, Date Excavated: 2000",,
